oneiota,ipso,similarity
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Height>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Potential_difference>)),0.692307692
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),<http://w3id.org/saref#Sensor>,0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Light>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Amount_of_substance_fraction>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),<http://w3id.org/saref#TemperatureSensor>,0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Humidity>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Electrical_conductance>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),<http://w3id.org/saref#Switch>,0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),<http://w3id.org/saref#Actuator>,0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Power>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Time>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Sound_power_level>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Acceleration>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Electric_current>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Frequency>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Acidity>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Number>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Energy>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Pressure>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Distance>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://org.semanticweb.owlapi/error#Error1>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampler> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/madeSampling> ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sampling> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)))),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Potential_difference>)),0
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),<http://w3id.org/saref#Sensor>,0.049689441
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Light>)),0.266666667
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Amount_of_substance_fraction>)),0.347826087
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),<http://w3id.org/saref#TemperatureSensor>,0.266666667
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Humidity>)),0.275862069
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Electrical_conductance>)),0.347826087
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),<http://w3id.org/saref#Switch>,0.212121212
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),<http://w3id.org/saref#Actuator>,0.184210526
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Power>)),0.307692308
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Time>)),0.307692308
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Sound_power_level>)),0.347826087
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Acceleration>)),0.333333333
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Electric_current>)),0.347826087
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Frequency>)),0.347826087
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Acidity>)),0.347826087
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Number>)),0.347826087
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Energy>)),0.307692308
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Pressure>)),0.235294118
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Distance>)),0.347826087
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://org.semanticweb.owlapi/error#Error1>)),0.347826087
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/sosa/observes> <http://www.wurvoc.org/vocabularies/om-1.8/Volumetric_flow_rate>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Potential_difference>)),0.347826087
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/ssn/forProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)),<http://w3id.org/saref#Sensor>,0.059171598
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/ssn/forProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Light>)),0.263157895
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/ssn/forProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Amount_of_substance_fraction>)),0.322580645
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/ssn/forProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)),<http://w3id.org/saref#TemperatureSensor>,0.263157895
ObjectIntersectionOf(<http://www.w3.org/ns/sosa/Sensor> ObjectSomeValuesFrom(<http://www.w3.org/ns/ssn/forProperty> <http://www.wurvoc.org/vocabularies/om-1.8/Percentage>)),ObjectIntersectionOf(<http://w3id.org/saref#Sensor> ObjectSomeValuesFrom(<http://w3id.org/saref#measuresProperty> <http://w3id.org/saref#Humidity>)),0.27027027
